ResourceID,Period Name,Period Name Use Type,Period Name Currency Type,Alternative Name,Alternative Name Use Type,Alternative Name Currency Type,Period Description,Period Description Type,Period Type,Earliest Possible Start Date,Latest Possible End Date,Parent Period,Geospatial Coordinates
c5a3406e-1854-4a08-af2c-a63607a4c035,Mid 5th Century,Primary,Current,Mid 5th Century CE,Alternative,Current,The middle part of the fifth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,433,466,"[{""resourceId"": ""6a783bff-6c1b-4789-8be0-74f7e181c29f"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
c657a510-0bf1-4d10-a463-88a81674f200,Early Prehistoric,Primary,Current,,,,For monuments which are characteristic of the Palaeolithic to Mesolithic but cannot be specifically assigned.,Full,Technological Period,-1000000,-4000,"[{""resourceId"": ""3fb6c900-0dc9-4d9d-a11e-3a882a5dfa83"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
c971118f-b675-4885-a861-740cce4579c8,Early 8th Century,Primary,Current,Early 8th Century CE,Alternative,Current,The early part of the eighth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,701,732,"[{""resourceId"": ""d60dff61-8e36-4408-836e-aa4beea47919"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
ca6c6ece-4420-4166-8357-1871922e2e75,Late Mesolithic,Primary,Current,,,,"The latest subdivision of the Mesolithic, or Middle Stone Age.",Full,Technological Period,-7000,-4000,"[{""resourceId"": ""19ad4fcb-df3e-4c51-9b95-7a5267fca4f4"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
ca93c14e-3053-4cd4-bed1-d2b7e344dc18,Mid 12th Century,Primary,Current,Mid 12th Century CE,Alternative,Current,The middle part of the twelfth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1133,1166,"[{""resourceId"": ""bb53e174-5079-4c39-81f7-d2d64dd4408b"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
cafbda38-cc1e-4739-81a6-7f83320aedfd,Late Medieval,Primary,Current,,,,"The second subdivision of the Medieval period, from the accession of Henry III and the start of the Plantagenet dynasty to the death of Richard III at the Battle of Bosworth Field and the beginning of the Tudor dynasty under Henry VII.",Full,Historic Period,1216,1485,"[{""resourceId"": ""6777424a-c0f9-437a-b709-4f48bb4f4f4c"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
cbc16260-cc04-44c6-a766-100d14e71659,10th Century,Primary,Current,10th Century CE,Alternative,Current,The tenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,901,1000,,
cd118674-b804-44c4-b83a-150b1f86cb37,Mid 13th Century,Primary,Current,Mid 13th Century CE,Alternative,Current,The middle part of the thirteenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1233,1266,"[{""resourceId"": ""e6bb2f0e-2bdf-408d-bd79-89e3c2aece1e"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
ce69b6ce-038a-4b9b-876b-4c024bac29b1,Early Pleistocene,Primary,Current,,,,The first of three subdivisions of the Pleistocene Epoch.,Full,Geological Period,-2580000,-779000,"[{""resourceId"": ""ee796633-6926-41de-98b4-06e098ee9830"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
cfc34f77-d909-4dac-8a72-b7f0e37c209b,Late Neolithic,Primary,Current,,,,"The third and latest subdivision of the Neolithic, or New Stone Age.",Full,Technological Period,-2900,-2200,"[{""resourceId"": ""1f0dffe8-0ac9-43ee-963f-16e4fbe401a5"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
